site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
HUYSINK,CA,39.282,-120.527,2011.7,91,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
INDEPENDENCE CAMP,CA,39.4526,-120.2986,2133.6,100,-0.3,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
INDEPENDENCE LAKE (SCS),CA,39.435,-120.322,2575.6,71,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
INDEPENDENCE CREEK,CA,39.494,-120.293,1981.2,70,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
LOWER KIBBIE RIDGE,CA,38.032,-119.877,2042.2,68,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
KAISER POINT,CA,37.3,-119.1,2804.2,43,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
KETTLE ROCK,CA,40.14,-120.715,2225,102,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
LOBDELL LAKE,CA,38.44,-119.377,2804.2,38,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
LEAVITT MEADOWS,CA,38.305,-119.552,2194.6,86,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
LEAVITT LAKE,CA,38.282,-119.621,2926.1,56,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MIDDLE BOULDER 3,CA,41.225,-122.811,1889.8,62,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MEDICINE LAKE,CA,41.5869,-121.6131,2042.2,83,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MAMMOTH PASS (USBR),CA,37.61,-119.033,2834.6,53,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MONITOR PASS,CA,38.67,-119.615,2545.1,93,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MARLETTE LAKE,NV,39.173,-119.905,2438.4,80,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MOUNT ROSE SKI AREA,NV,39.326,-119.902,2712.7,57,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MITCHELL MEADOW,CA,36.737,-118.712,3017.5,52,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
MUMBO BASIN,CA,41.197,-122.523,1722.1,56,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
PETERSON FLAT,CA,41.3023,-122.5277,2179.3,62,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
PILOT PEAK (DWR),CA,39.7859,-120.8778,2072.6,121,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
PASCOES,CA,35.967,-118.35,2788.9,21,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
POISON FLAT,CA,38.501,-119.631,2407.9,63,-0.3,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
POISON RIDGE,CA,37.403,-119.52,2103.1,55,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
QUAKING ASPEN,CA,36.1175,-118.5399,2194.6,27,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
ROBBS SADDLE,CA,38.9115,-120.3793,1798.3,68,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
ROCK CREEK LAKES,CA,37.4573,-118.7351,2956.6,51,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
LOWER RELIEF VALLEY,CA,38.243,-119.758,2468.9,16,-0.3,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
RUBICON PEAK 2,CA,39.001,-120.14,2286,85,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
RED ROCK MOUNTAIN,CA,41.023,-122.885,2042.2,51,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
RATTLESNAKE,CA,40.125,-121.043,1859.3,90,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SCOTT MOUNTAIN,CA,41.272,-122.718,1798.3,37,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SAND FLAT,CA,41.3504,-122.2464,2057.4,51,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SHIMMY LAKE,CA,41.008,-122.8,1950.7,23,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SILVER LAKE,CA,38.678,-120.118,2164.1,93,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SLIDE CANYON,CA,38.092,-119.43,2804.2,58,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SOUTH LAKE,CA,37.1759,-118.5627,2926.1,42,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
STANISLAUS MEADOW,CA,38.5055,-119.9373,2362.2,89,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SLATE CREEK,CA,41.045,-122.478,1737.4,35,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SNOW MOUNTAIN,CA,40.778,-121.782,1813.6,63,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SONORA PASS BRIDGE,CA,38.318,-119.601,2667,58,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
SQUAW VALLEY GOLD COAST,CA,39.194,-120.276,2499.4,70,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
